CustomerCode,Status,Name,EmailAddress,FirstName,LastName,POAttentionTo,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,PORoute,POAvailability,SAAttentionTo,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,SALegacyCode,SAId,SARoute,SAAvailability,PhoneNumber,FaxNumber,MobileNumber,DDINumber,SkypeName,BankAccountName,BankAccountNumber,BankAccountParticulars,TaxNumber,AccountsReceivableTaxCodeName,AccountsPayableTaxCodeName,Website,Discount,DueDateBillDay,DueDateBillTerm,DueDateSalesDay,DueDateSalesTerm
,Not Live,Bliss +Co & Wholefoods,"contact@bliss-and-co.com.au","Nick","Blismas",,"64A The Terrace","Ocean Grove","",,"Ocean Grove",,"3226",,,0011111,,"64A The Terrace","Ocean Grove","",,"Ocean Grove",,"3226",,"718",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Jay Smith,"smithjay505@gmail.com","","",,"74 Leicester Street","Mildura","",,"Mildura",,"3500",,,0111000,,"74 Leicester Street","Mildura","",,"Mildura",,"3500",,"719",,,0111000,"",,,,,,,,,,,,,,,,
,Live,Sideshow burger Cranbourne,"smiley.malik11@gmail.com","","",,"6/1085 South Gippsland Highway","Cranbourne North","",,"Cranbourne North",,"3977",,,0111111,,"6/1085 South Gippsland Highway","Cranbourne North","",,"Cranbourne North",,"3977",,"720",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Compass Coffee and Food,"info@compasshospitality.com.au","","",,"260 Burwood Road, Hawthorn","","",,"Hawthorn",,"3122",,,0111111,,"260 Burwood Road, Hawthorn","","",,"Hawthorn",,"3122",,"721",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Sideshow Burger Healesville,"sideshowhealesville@gmail.com","","",,"Shop 16 251-263 Maroondah Hwy","","",,"HEALESVILLE",,"3777",,,0011010,,"Shop 16 251-263 Maroondah Hwy","","",,"HEALESVILLE",,"3777",,"723",,,0011010,"",,,,,,,,,,,,,,,,
,Live,St Pauls General Store,"accounts@stpaulsgeneralstore.com.au","","",,"69 St Pauls Rd","","",,"SORRENTO",,"3943",,,0111010,,"69 St Pauls Rd","","",,"SORRENTO",,"3943",,"724",,,0111010,"",,,,,,,,,,,,,,,,
,Not Live,Henrys Mercato Waverly Gardens,"waverleygardens.admin@henrysmercato.com.au","","",,"Shop 1201 Waverley Garden Shopping Centre","271 Police Rd","Mulgrave",,"MULGRAVE",,"3170",,,0111111,,"Shop 1201 Waverley Garden Shopping Centre","271 Police Rd","Mulgrave",,"MULGRAVE",,"3170",,"725",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Hotel Esplanade,"accounts@sandhillroad.com.au","","",,"11 The Esplanade","St Kilda","",,"Melbourne",,"3182",,,0111111,,"11 The Esplanade","St Kilda","",,"Melbourne",,"3182",,"726",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Wild Gypsea Wellness,"love@wildgypseacollective.com.au","","",,"63a Ormond Esp","ELWOOD","",,"ELWOOD",,"3184",,,0111111,,"63a Ormond Esp","ELWOOD","",,"ELWOOD",,"3184",,"727",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Hobson's Bay Hotel,"ben@hobsonsbayhotel.com.au","","",,"28 Ferguson St","Williamstown","",,"Williamstown",,"3016",,,0111111,,"28 Ferguson St","Williamstown","",,"Williamstown",,"3016",,"728",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Montague Hotel,"accounts@themontague.com.au","","",,"329 Park St","South Melbourne","",,"SOUTH MELBOURNE",,"3205",,,0111111,,"329 Park St","South Melbourne","",,"SOUTH MELBOURNE",,"3205",,"729",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Railway 9,"jsjpartners9@gmail.com","","",,"9 Railway Pl","Fairfield","",,"FAIRFIELD",,"3078",,,0111111,,"9 Railway Pl","Fairfield","",,"FAIRFIELD",,"3078",,"730",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Mooks Cafe,"info@mookscafe.com.au","","",,"451 Hawthorn Rd","Caulfield South","",,"CAULFIELD SOUTH",,"3162",,,0111111,,"451 Hawthorn Rd","Caulfield South","",,"CAULFIELD SOUTH",,"3162",,"731",,,0111111,"",,,,,,,,,,,,,,,,
,Not Live,Backyard Burgers,"invoicejag@gmail.com","","",,"3A Bay Road","Mount Martha","",,"Mount Martha",,"3996",,,0111111,,"3A Bay Road","Mount Martha","",,"Mount Martha",,"3996",,"732",,,0111111,"",,,,,,,,,,,,,,,,
,Not Live,Cafe Du Port Sorrento,"info@cafeduportsorrento.com","","",,"85 89 Ocean Beach Road","Sorrento","",,"Sorrento",,"3943",,,0111111,,"85 89 Ocean Beach Road","Sorrento","",,"Sorrento",,"3943",,"733",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Beachcomber Cafe,"info@monroes.com.au","","",,"The St Kilda Baths","Tenancy 9 10-18 Jacka Blvd","St Kilda",,"Melbourne",,"3182",,,0111111,,"The St Kilda Baths","Tenancy 9 10-18 Jacka Blvd","St Kilda",,"Melbourne",,"3182",,"735",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Common Ground Ballarat,"luke@commongroundballarat.com.au","","",,"306 Howitt St","BALLARAT NORTH","",,"BALLARAT NORTH",,"3350",,,0111010,,"306 Howitt St","BALLARAT NORTH","",,"BALLARAT NORTH",,"3350",,"736",,,0111010,"",,,,,,,,,,,,,,,,
,Live,Stocked Food Store,"stockup@stockedfoodstore.com.au","","",,"549 Malvern Road","Hawksburn Village Toorak","",,"Melbourne",,"3142",,,0111111,,"549 Malvern Road","Hawksburn Village Toorak","",,"Melbourne",,"3142",,"737",,,0111111,"",,,,,,,,,,,,,,,,
,Live,James Said Bistro,"accounts@jamessaidbistro.com.au","","",,"926 High St","Armadale","",,"Armadale",,"3143",,,0111111,,"926 High St","Armadale","",,"Armadale",,"3143",,"738",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Sonia Hartley,"sonia@focusplusmanagement.com.au","","",,"27 Bellbird Rd","Mount Eliza","",,"Melbourne",,"3930",,,0111010,,"27 Bellbird Rd","Mount Eliza","",,"Melbourne",,"3930",,"739",,,0111010,"",,,,,,,,,,,,,,,,
,Live,There cafe (Previously Gathered cafe),"accounts@culinarytailoring.com.au","","",,"Ground Floor, S02/90-96 Maribyrnong St","Footscray","",,"Melbourne",,"3011",,,0111111,,"Ground Floor, S02/90-96 Maribyrnong St","Footscray","",,"Melbourne",,"3011",,"740",,,0111111,"",,,,,,,,,,,,,,,,
,Live,The Atlantic Restaurant,"AtlanticRest@cookingthebooks.com.au","","",,"Shop 18-19 Crown Casino, 8 Whiteman Street","Southbank","",,"Melbourne",,"3006",,,0111111,,"Shop 18-19 Crown Casino, 8 Whiteman Street","Southbank","",,"Melbourne",,"3006",,"741",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Bronhill Health Distributors,"admin@bronhill.com","","",,"Unit 2 18 Ramage St","BAYSWATER","",,"BAYSWATER",,"3153",,,0111111,,"Unit 2 18 Ramage St","BAYSWATER","",,"BAYSWATER",,"3153",,"742",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Captains Of The Industry,"alanbeverley@gmail.com","","",,"Level 1, 2 Somerset Place","Melbourne","",,"Melbourne",,"3000",,,0111111,,"Level 1, 2 Somerset Place","Melbourne","",,"Melbourne",,"3000",,"743",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Rocket Burger,"rose@walkersdoughnuts.com.au","","",,"Shop 9A  276 Flinders St","","",,"MELBOURNE",,"3000",,,0111111,,"Shop 9A  276 Flinders St","","",,"MELBOURNE",,"3000",,"744",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Santa Katharina,"hello@santakatharina.com.au","","",,"1/22 St Kilda Rd","St Kilda","",,"Melbourne",,"3182",,,0111111,,"1/22 St Kilda Rd","St Kilda","",,"Melbourne",,"3182",,"745",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Retail Customer: Alex,"aleclerc@bigpond.net.au","","",,"31 The Peninsula","YAMBA","",,"YAMBA",,"2464",,,0111000,,"31 The Peninsula","YAMBA","",,"YAMBA",,"2464",,"746",,,0111000,"",,,,,,,,,,,,,,,,
,Not Live,Piqniq,"juliamalcolm@gmail.com","","",,"11 Ramsden Ave","Apollo Bay","",,"APOLLO BAY",,"3233",,,0011010,,"11 Ramsden Ave","Apollo Bay","",,"APOLLO BAY",,"3233",,"747",,,0011010,"",,,,,,,,,,,,,,,,
,Live,Toms Market Place,"accounts@tomsmarketplace.com.au","","",,"MM2 500-540 Torquay Rd","ARMSTRONG CREEK","",,"ARMSTRONG CREEK",,"3217",,,0111110,,"MM2 500-540 Torquay Rd","ARMSTRONG CREEK","",,"ARMSTRONG CREEK",,"3217",,"748",,,0111110,"",,,,,,,,,,,,,,,,
,Live,Hotel Windsor,"njayasekera@thw.com.au","","",,"111 Spring St","Melbourne","",,"Melbourne",,"3000",,,0111111,,"111 Spring St","Melbourne","",,"Melbourne",,"3000",,"749",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Apples and Sage - Country,"support@ascountry.com.au","","",,"81f High St","WOODEND","",,"WOODEND",,"3442",,,0111010,,"81f High St","WOODEND","",,"WOODEND",,"3442",,"750",,,0111010,"",,,,,,,,,,,,,,,,
,Live,Rococo Hawthorn,"accounts@rococo.net.au","","",,"797 Glenferrie Rd","HAWTHORN","",,"Melbourne",,"3122",,,0111111,,"797 Glenferrie Rd","HAWTHORN","",,"Melbourne",,"3122",,"751",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Spin Coffee,"accounts@spincoffee.com.au","","",,"T 11 St James place","535-555 Bourke St (on the right corner of William and Lt Collins opp. Westpac bank)","",,"Melbourne",,"3000",,,0111111,,"T 11 St James place","535-555 Bourke St (on the right corner of William and Lt Collins opp. Westpac bank)","",,"Melbourne",,"3000",,"752",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Dough Trader,"kabalanm@hotmail.com","","",,"30 Wembley Ave","YARRAVILLE","",,"YARRAVILLE",,"3013",,,0111111,,"30 Wembley Ave","YARRAVILLE","",,"YARRAVILLE",,"3013",,"753",,,0111111,"",,,,,,,,,,,,,,,,
,Live,People with Passion Pty Ltd,"trainingpwp@gmail.com","","",,"103A Bulli Street","Moorabbin","",,"Moorabbin",,"3189",,,0111110,,"103A Bulli Street","Moorabbin","",,"Moorabbin",,"3189",,"754",,,0111110,"",,,,,,,,,,,,,,,,
,Live,Freewave,"freewaveaccounts@outlook.com","","",,"Unit 3 62 Ballina St","LENNOX HEAD","",,"LENNOX HEAD",,"2478",,,0111000,,"Unit 3 62 Ballina St","LENNOX HEAD","",,"LENNOX HEAD",,"2478",,"755",,,0111000,"",,,,,,,,,,,,,,,,
,Live,Sir Grace & Co,"sirgraceandco@outlook.com","","",,"282 Queens Pde","Fitzroy North","",,"FITZROY NORTH",,"3068",,,0111111,,"282 Queens Pde","Fitzroy North","",,"FITZROY NORTH",,"3068",,"756",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Greenfields Albert Park,"greenfields.ap@lightyear.cloud","","",,"35/37 Lakeside Drive","Melbourne","",,"Melbourne",,"3004",,,0111111,,"35/37 Lakeside Drive","Melbourne","",,"Melbourne",,"3004",,"757",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Mindful AF,"amy@mindful.com.au","","",,"Shop 3 Upper Ground Floor 333 Belgrave-gembrook Rd","Emerald","",,"EMERALD",,"3782",,,0011110,,"Shop 3 Upper Ground Floor 333 Belgrave-gembrook Rd","Emerald","",,"EMERALD",,"3782",,"758",,,0011110,"",,,,,,,,,,,,,,,,
,Live,Retail customer: Sean Scanlon,"seanmichaelscanlon@hotmail.com","","",,"39 Collins Street","","",,"Essendon",,"3040",,,0011111,,"Stamford Plaza Melbourne Hotel,","111 Little Collins Street,","",,"Melbourne",,"3000",,"759",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Retail customer: Sean Scanlon,"seanmichaelscanlon@hotmail.com","","",,"39 Collins Street","","",,"Essendon",,"3040",,,0011111,,"39 Collins Street","","",,"Essendon",,"3040",,"936",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Retail customer: Sean Scanlon,"seanmichaelscanlon@hotmail.com","","",,"39 Collins Street","","",,"Essendon",,"3040",,,0011111,,"101 collins street","","",,"Melbourne",,"3000",,"1174",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Walter Mount Waverly,"accounts@onlyhospitalitygroup.com.au","","",,"Shop 7&8 435-437 Blackburn Rd","MOUNT WAVERLEY","",,"MOUNT WAVERLEY",,"3149",,,0111111,,"Shop 7&8 435-437 Blackburn Rd","MOUNT WAVERLEY","",,"MOUNT WAVERLEY",,"3149",,"760",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Cork at Cook Corner,"sansomwinesolutions@icloud.com","","",,"2 Kallista-emerald Rd","KALLISTA","",,"KALLISTA",,"3791",,,0001111,,"2 Kallista-emerald Rd","KALLISTA","",,"KALLISTA",,"3791",,"761",,,0001111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"Jayden Ong Winery & Cellar Bar","8 Hunter Road","Healesville",,"Healesville",,"3777",,"762",,,0110100,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"Sue","6 Beverley Ct Hoppers Crossing","",,"Hoppers Crossing",,"2029",,"764",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"The Birdhouse Apollo Bay","125 Great Ocean Road","Apollo Bay",,"Apollo Bay",,"3233",,"768",,,0110010,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"Allan Dib - 0409313371","40 Park Road Mount Martha VIC 3934","",,"Mount Martha",,"3934",,"784",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,"793",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"Rocco's Bologna Discoteca","15 Gertrude Street","Fitzroy",,"Fitzroy",,"3065",,"797",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"Super Human Food Store, 15 - Hope st, Brunswick 3056","","",,"Brunswick",,"3056",,"800",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"25 Dundas Street","","",,"Lancefield",,"3435",,"904",,,0011000,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"Ms Angelica Filardo - 23 Henderson Street, Reservoir, Victoria, 3073","","",,"Reservoir",,"3073",,"802",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"38 South bar Cafe - 131 Nepean Hwy","","",,"Seaford",,"3198",,"914",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"31 Parkhurst drive","","",,"Knoxfield",,"3180",,"906",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"Heritage Balnarring","3059 Frankston - Flinders Rd","Balnarring",,"Balnarring",,"3926",,"865",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"Barwon Heads Golf Club","Golf links rd, Barwon heads","",,"Barwon heads",,"3227",,"805",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"Milk and Wine Co  195-198 Canterbury road, Heathmont","","",,"Heathmont",,"3135",,"806",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"Kartel - 525 Little Collins St, Melbourne","","",,"Melbourne",,"3000",,"823",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"b1/162 Whitehorse road","","",,"Blackburn",,"3130",,"1175",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"30 Raglan St Daylesford","","",,"Melbourne",,"3460",,"1145",,,0011010,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"137 Buckhurst Street, South Melbourne","","",,"Melbourne",,"3205",,"1169",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"144-148 Emmersons Rd, Lovely Banks VIC 3213","","",,"Melbourne",,"3213",,"1163",,,0011010,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"420A Wallington-Ocean Grove Rd, Wallington (Mona Cicchetti Bar)","","",,"WALLINGTON",,"3222",,"1135",,,0011010,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"3303/9 Power St, Southbank","","",,"Melbourne",,"3000",,"1148",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"Unit 1 / 9 Almond Avenue","Brooklyn","",,"melbourne",,"3012",,"1172",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"31 SPRING ST","","",,"Melbourne",,"3000",,"1173",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"120 Grover st","","",,"CREMORNE",,"3121",,"1192",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"20 Senna Cct, Ocean Grove","","",,"Melbourne",,"3000",,"1194",,,0011010,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"2/41 Rattray Road","Montmorency","",,"Melbourne",,"3094",,"1210",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"2-8 ocean beach Rd Sorrento","","",,"Sorrento",,"3943",,"1217",,,0011010,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"5 Easton Mall","","",,"Oakleigh",,"3166",,"1196",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"248 Burwood Rd,","","",,"Hawthorn",,"3122",,"1212",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"Unit 1005","31 Spring St, Melbourne VIC","",,"Melbourne",,"3000",,"1215",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Samples,"nodata@email.com","","",,"Anna Baddeley","6 Naroon Drive","Kalkallo",,"Kalkallo",,"3064",,,0011111,,"3/25 Quondola Street,Pambula","NSW 2549","",,"Pambula",,"2549",,"1233",,,0011000,"",,,,,,,,,,,,,,,,
